freeze_order,archive_study_id,selection_hash,study_title,study_authors,archive_source_class,study_field,source_link,deduplication_status,notes,outcome_access
1,Bougher893,0e37910ef4e187cc76a91033631a3eef5992cb5fba2018823a4146639c0a0d06,Issue (Dis)agreement and Intergroup Bias in Affective Polarization,Lori Bougher,tess,Political Science,NA,pending_source_audit,,sealed
2,brandtS1,22a90fb7cddde931774133e156ab319e1b4dcff1e01af462e6f1be09fb3536d5,Onset and Offset Controllability in Perceptions and Reactions to Home Mortgage Foreclosures,Mark Brandt,non_tess,Psychology,https://www.jstor.org/stable/23481743?typeAccessWorkflow=login,pending_source_audit,,sealed
3,patriot_act,22e728a34d99c70b7c16c6b324e74c2e11100e5b43bce8cf4dda154f11b1cbd0,Dynamic Public Opinion: Communication Effects over Time,Dennis Chong; James N. Druckman,non_tess,"Political Science, Political Psychology",https://www.cambridge.org/core/journals/american-political-science-review/article/abs/dynamic-public-opinion-communication-effects-over-time/6530A8E20923B3A28AC63F4E778E6D64,pending_source_audit,,sealed
4,Melin1066,2849040aeed40982ae708748798adb11da12ca2a059694fc32b499895d0e6c80,Testing a Theory of Hybrid Femininity,Julia Melin,tess,Sociology,https://journals.aom.org/doi/abs/10.5465/AMBPP.2022.10631abstract,pending_source_audit,,sealed
5,ThorsonS42,2b377a1a11235a0eb581bb8b5a309193c549d5befa2b55c15263ca17b9994a66,Effects of Misinformation News Coverage on Media Trust,Emily Thorson,tess,Political Science,https://www.cambridge.org/core/elements/how-news-coverage-of-misinformation-shapes-perceptions-and-trust/6DBC0ED06F52900F0FE207C7E9056AAD,pending_source_audit,,sealed
6,Harbridge-Yong1032,354bcb874f7c693402397fcd1b4314334d38884179304737a98b3ad7e30f77b5,You Can't Always Get What You Want: How Majority-Party Agenda-Setting and Ignored Alternatives Shape Public Attitudes,Laurel Harbridge-Yong; Celia Paris,tess,Political Science,https://onlinelibrary.wiley.com/doi/abs/10.1111/lsq.12279?casa_token=xLXm0xguDXkAAAAA%3ASzeJeJPVqmJFOYELAiePdsBt9jUTdsnwWoKwzI91n1Zm2d16YEMBN3DvA5m1-V41GHiJ-kFp3O_tZlQ,pending_source_audit,,sealed
7,converseS16,3cd9e226eda92b0e67b714e21e478e80ac1aee7796174a83d7b2e82fee85641c,With God on Our Side,Benjamin A. Converse; Nicholas Epley,non_tess,"Social Policy, Psychology",https://www.pnas.org/doi/abs/10.1073/pnas.0908374106,pending_source_audit,,sealed
8,Krupnikov719,3d2cdcccf04f06299d350f698432d3259c8849fb1431d37a0ce80b6e4cbcba0d,Does Transparency Affect Survey Research?,Yanna Krupnikov,tess,Political Science,https://academic.oup.com/poq/article/83/S1/185/5520299,pending_source_audit,,sealed
9,ShannonS2,3ee33f075032cff7811d64929e4907e97699c0ab6367d82aa7350a8ce99c4685,Are Americans Willing to Reject a Fiscal Benefit to Exclude Immigrants from Public Entitlements?,Melissa Shannon,tess,"Political Science, Social Policy",http://etheses.lse.ac.uk/4207/1/Shannon__Politics-population-change-three-papers.pdf,pending_source_audit,,sealed
10,AnsonBRIEF60,3fa5505b3f3cd6f4950c0cfe94f736ec40803bb3b8d69dc3e6633840665675e6,Which Economy? Class and Partisan Biases in the Acquisition of Economic Information,Ian Anson,tess,Political Science,NA,pending_source_audit,,sealed
11,system_threat,5e78abf41238d71f75e3779117d8d0955d04fe8ebba4c5f6363c9090d0126dcd,On the Precipice of a “Majority-Minority” America: Perceived Status Threat From the Racial Demographic Shift Affects White Americans’ Political Ideology,Maureen A. Craig; Jennifer A. Richeson,non_tess,"Social Psychology, Political Psychology",https://journals.sagepub.com/doi/abs/10.1177/0956797614527113,pending_duplicate_adjudication,Possible same fielded experiment as SocSci210 345ms; do not admit until source-level identity is resolved.,sealed
12,Craig735,71b11c41e440bba37943c4a21445541f64d0d511120839d63ed3510354f8079d,Racial Majority & Minority Group Members' Psychological and Political Reactions to Minority Population Growth,Maureen Craig,tess,Psychology,https://journals.sagepub.com/doi/full/10.1177/1948550617712029?casa_token=4TyWyrVV0XUAAAAA%3AyBGfrzERq2ho7uTygst5iee08h9pQpMvrenMbOljFi7TXkTDBjcKqmGobnfrmsaU4vmw56jmFwGYUvo,pending_source_audit,,sealed
13,Iles1294,811d0042b189d76c78fde88db802d46a813284d2948daff5be83f29192f40486,Understanding Effects of Communicating Different Types of Conflicting Information About Nutrition and Cancer Risk,Irina Iles; Arielle S. Gilman; Lauren O'Connor; Rebecca Ferrer; William Klein,tess,"Psychology, Communication",https://www.sciencedirect.com/science/article/pii/S0277953622005986,pending_source_audit,,sealed
14,Blair1131,831aa2e6727d963a80e4003acbcbf4ad859386468b9060a8a43ee68d71c36b9a,Do Women Make More Credible Threats? Gender Stereotypes and Crisis Bargaining,Christopher W. Blair; Joshua A. Schwartz,tess,"Political Science, Psychology, Women and Gender Studies, Sociology",https://www.cambridge.org/core/journals/international-organization/article/do-women-make-more-credible-threats-gender-stereotypes-audience-costs-and-crisis-bargaining/C9CD73BBADA998376C1AD9C4E009600E,pending_source_audit,,sealed
