experiment_id,primary_track,source_instrument,source_questionnaire_sha256,source_item_id,socsci_task_num,outcome_family,source_valid_values,source_labels,utility_definition,mapping_status,scoring_blocker,outcome_access,notes
mzm26,extension_factorial,TESS3 194 - Gross_questionnaire_final.docx,4970abb7b784c745a9c0748dfd132d658e94f68a80c78d9cdfe484f9c1cba261,Q12,0,bounded_numeric,0|1|2|3|4|5|6|7|8|9|10,whole_dollars_donated_to_Miriams_Kitchen,U=Q12/10,source_verified_primary_outcome_video_assets_missing,four exact fielded MOV stimuli absent from official deposit; no faithful simulator contract,result_text_exposed_non_test,"Q12 is an incentivized real donation from the participant's $10 fee. The deployable empathy policy must be standardized over the Black/White target-race nuisance factor. Prior-pilot result text appeared in the proposal, so the task is development-only even if the source videos are later recovered."
tcg8p,extension_continuous,8041.101 TESS 101 Gorman_vFINALsimple.docx,10848b27e0a52f53db50336eb93ef831c1c0c02d82a733e7b302d401bcddfe6c,Q11,0,continuous,"nonnegative integer; no source upper bound; 77777|99998|99999 are missing",USD_per_month,"lower WTP is better; primary mean contrast in raw USD/month with median robustness",source_verified_continuous_contract,canonical split not frozen; pooled normalized-regret scale unresolved,sealed,"Source proposal targets mean WTP; exact choice is primary and raw-dollar tolerance sensitivity is 0|5|10|20. Do not inspect tcg8p responses until a frozen validation recommendation authorizes reveal."
4w9pz,extension_source_data,8041.0070_TESS Teen 2_v10clean_FINAL.docx,b925ffa716d2f32463cf91e1e9f606f93086b66cd2491eadeb8604a7382c446c,T70_14,,binary,1|2,easy_review|hard_challenge,U=1 for hard challenge and U=0 for easy review,source_verified_primary_outcome_action_subset_sequence_assets_pending,exact co-fielded Campbell teen module and visual assets plus order metadata required for a faithful simulator,sealed,"Frozen rule selects the first post-treatment behavioral choice. Source mapping verifies P_COND70, WEIGHT, T70_14 coding, and 392/411 design support without opening T70_14. SocSci task 2 contains earlier help-seeking intentions and must not replace T70_14. The final questionnaire randomizes Campbell and Hecht block order; the adult Campbell deposit is not a valid substitute for the exact teen co-module."
pb2rr,extension_factorial,TESS3_187_Abascal_Questionnaire_final.doc,dd7cbf117ef33eaca8d7e4ed1938c80bf3bf6b5144d3609c56428ac40f457b95,Q4,,bounded_numeric,0|1|2|3|4|5|6|7|8|9|10,whole_dollars_given_to_recipient,U=Q4/10,source_verified_primary_outcome_source_data_multimodal_contract_complete,canonical split unassigned; source Q4 scoring and image-capable simulation occur only after recommendation freeze,sealed,"The source-first behavioral endpoint is a real $0-$10 transfer. SocSci210 omits Q4 and the recipient-name factor. Score the article contrast from governed source data using equal standardization over all 16 randomized names; later SocSci attitude tasks may not substitute for Q4."
egmxd,extension_multimodal,9089.108_TESS-Wolfson_v5clean.docx,dc08a3a01bea7435a852e9b23a12a3927ac6773e431fc82e069fe1a18d121da2,Q1A|Q1B|Q1C,0,binary_utility_from_categorical_choice,14 forced-choice menu items,one selected item per participant,U=1 for source options 2 or 7-14 and U=0 otherwise,source_verified_primary_categorical_choice_multimodal_contract_complete,canonical test barred by aggregate target-frequency exposure; development analysis only,result_text_exposed_non_test,"The three exact embedded menu images are hash-pinned. Group SocSci task-0 rows by participant and require a complete 14-option one-hot choice. A codebook workbook unexpectedly contained frequency worksheets; exposed aggregates are forbidden from every prompt diagnostic model threshold and evaluation choice."
de5hx,extension_utility_sensitivity,tess2_054_kam-simas2_FINAL.doc,3d59c81363d588e2744dedefd20e8dbb56df0525502dd96a3894786acabe53c8,Q8,0,ordinal,1|2|3|4,definitely_Jack|probably_Jack|probably_Gary|definitely_Gary,"Jack-campaign U=(4-y)/3; Gary-campaign U=(y-1)/3",source_verified_primary_outcome_utility_ambiguous,decision-maker beneficiary and primary sensitivity analysis must be frozen,sealed,"The source names candidate preference first. Full article text must replace SocSci ellipses; questionnaire display order was randomized but the source variable labels are candidate-anchored."
345ms,extension_composite,TESS2 107 Craig Survey.doc,dde3bf62d888198f627308f0964bb3a2b83d7ae2425833bb8db6cb1a4ec24344,Q3|Q4|Q5,2,ordinal_composite,1-7|1-7|1-5,way_of_life_threat|system_deservingness|societal_direction,"item-normalize to less system threat after reversing Q4; aggregate rule must be preregistered",source_verified_primary_composite,item-explicit composite and heterogeneous-scale estimator required,result_text_exposed_non_test,"The proposal specifies three system-threat items. SocSci task 2 bundles all three; one item cannot be selected for convenience. A later qualitative abstract exposure bars this study from canonical test evaluation."
gx6hp,core_simple,TESS2 046_Kalmoe_FINAL.doc,3a2e66e5cd41ad29799d999ed0e7149c33a8e97aa2524149eee299f010de3f22,Q6,0,ordinal,1|2|3|4|5,strongly_favorable|somewhat_favorable|neutral|somewhat_unfavorable|strongly_unfavorable,U=(5-y)/4 on source coding,source_verified_pending_recode_provenance,released prompt reverses labels; prove whether response was recoded before scoring,sealed,"Source variable metadata confirms the questionnaire direction. SocSci prompt says 1 strongly unfavorable to 5 strongly favorable."
hgmu6,core_simple,8041.063_TESS 063_Stephens_v6clean.docx,110e4786d28d55ef6b6d490f4305e92dcd8237c5c532c6b30e823eabe2e63278,Q14,0,ordinal,1|2|3|4|5,strongly_agree|agree|neutral|disagree|strongly_disagree,U=(y-1)/4 for public-health protection on source coding,source_verified_pending_recode_provenance,released prompt reverses labels; prove whether response was recoded before scoring,sealed,"No single source-primary item is declared, so the frozen fallback selects the first post-treatment attitudinal item in the final fielded instrument."
z358z,extension_factorial,TESS3 173 175 176- Kalla Nayak Saperstein_Quex_FINAL.docx,129c0ebf5f49b54dff2abc63c3eed9c7e2f08ef1eed86f0ae38e522583d0b0bc,Q3a,2,ordinal,1|2|3|4|5|6|7,strongly_disagree|2|3|neutral|5|6|strongly_agree,U=(y-1)/6 for perceived study value,source_verified_primary_outcome_action_subset_sequence_complete,complete outcome-blind mapping; canonical split remains unassigned,sealed,"Freeze SocSci conditions 0 and 1 only: XTESS175=1 drug scenario with DOV_OPTION=1 general notification versus DOV_OPTION=2 verbal consent. Conditions 2 and 3 are an omitted dosing-time context and cannot become a second experiment. The sequence bundle marginalizes over all four programmed Kalla/Nayak/Saperstein orders."
