audit_order,archive_study_id,final_scientific_status,stage1_disposition,stage1_gate,requires_stage2,outcome_access,notes
1,Bougher893,ineligible,stop,target_attributes_or_scenario_not_actions,false,result_text_exposed_ineligible,Instrument establishes that party and issue profiles are contest attributes rather than deployable interventions.
2,brandtS1,ineligible,stop,target_attributes_or_scenario_not_actions,false,result_text_exposed_ineligible,Instrument establishes that onset and offset controllability are household circumstances.
3,patriot_act,ineligible,stop,no_coherent_action_set_or_stable_utility,false,result_text_exposed_ineligible,Instrument design mixes sponsor direction processing instructions and multiwave sequences.
4,Melin1066,ineligible,stop,target_attributes_or_scenario_not_actions,false,result_text_exposed_ineligible,Instrument establishes that occupational history and job context are attributes.
5,ThorsonS42,ineligible,stop,duplicate_fielding,false,sealed,Stable OSF node exactly matches SocSci210 xtvu5.
6,Harbridge-Yong1032,eligible_extension,escalate,passes_stage1,true,result_text_exposed_non_test,Full action-subset outcome and allocation contract required Stage 2.
7,converseS16,ineligible,stop,unresolved_experiment_identity_or_reconstruction,false,result_text_exposed_ineligible,One article contains multiple studies and the archive row cannot be mapped to one fielded experiment.
8,Krupnikov719,ineligible,stop,no_stable_utility_and_treatment_induced_selection,false,result_text_exposed_ineligible,Instrument exposes the continuation gate and unsupported utility.
9,ShannonS2,eligible_extension,escalate,passes_stage1,true,sealed,Repeated factorial message design required Stage 2 order and estimator recovery.
10,AnsonBRIEF60,eligible_extension,escalate,passes_stage1,true,result_text_exposed_non_test,Personalized policy required Stage 2 routing and co-module recovery.
11,Craig735,ineligible,stop,no_source_grounded_monotone_utility,false,sealed,Instrument outcomes are ideologically contested without a declared beneficiary.
12,Iles1294,ineligible,stop,factual_world_changes_across_cells,false,sealed,Instrument shows mutually different evidence and expert positions across cells.
13,Blair1131,eligible_extension,escalate,passes_stage1,true,sealed,Action-subset and narrow approval utility required full Stage 2 adjudication.
14,KrupnikovS34,ineligible,stop,measurement_only_no_downstream_outcome,false,sealed,Randomized think-feel wording is the measurement itself.
15,turagaS11,eligible_extension,escalate,passes_stage1,true,sealed,Coherent information policies required Stage 2 outcome mapping and scoring blockers.
16,SchaadS62,ineligible,stop,duplicate_fielding,false,sealed,Stable OSF node exactly matches SocSci210 9nphm.
