batch_id,start_freeze_order,end_freeze_order,candidate_ids,batch_status,launched_date,outcome_access,notes
external-batch-20260812-001,2,4,brandtS1|patriot_act|Melin1066,complete,2026-08-12,result_text_exposure_logged,"Read-only design-evidence retrieval ran in parallel. Central review excluded all three on action-set or utility grounds and committed them in frozen order. No participant outcome file was opened; incidental result-text exposure was logged for each candidate."
external-batch-20260812-002,5,7,ThorsonS42|Harbridge-Yong1032|converseS16,complete,2026-08-12,mixed_sealed_and_exposure_logged,"Read-only questionnaire/codebook-first retrieval ran in parallel. Central review excluded one exact SocSci210 duplicate and one source-blocked row, and retained Harbridge-Yong1032 as a development-only factorial action-subset extension. No participant file was opened; result-text exposure was logged for the two affected candidates."
external-batch-20260812-003,8,10,Krupnikov719|ShannonS2|AnsonBRIEF60,complete,2026-08-12,mixed_sealed_and_exposure_logged,"Parallel questionnaire/codebook-first retrieval retained ShannonS2 as a sealed factorial repeated-message extension and AnsonBRIEF60 as a development-only personalized-policy extension, while excluding Krupnikov719 on stable-utility and post-treatment-selection grounds. Mixed archives were removed after selective design-file extraction; participant members were never extracted or opened."
external-batch-20260812-004,12,14,Craig735|Iles1294|Blair1131,complete,2026-08-12,sealed,"Parallel direct-source audits excluded Craig735 for no defensible stable utility and Iles1294 because its cells change the factual evidence state, while retaining Blair1131 as a sealed deterministic crisis-action subset extension. Freeze-order 11 remains a separate duplicate-adjudication hold. No participant file or result-bearing text was opened."
external-batch-20260812-005,15,17,KrupnikovS34|turagaS11|SchaadS62,complete,2026-08-12,sealed,"Parallel direct-source audits retained turagaS11 as a sealed core-simple three-arm information-policy extension, excluded KrupnikovS34 as measurement wording without a decision utility, and removed SchaadS62 as an exact duplicate of SocSci210 9nphm. No participant file or result-bearing text was opened."
external-batch-20260812-006,18,20,dennyS17|death_penalty|Braman751,complete,2026-08-12,mixed_sealed_and_exposure_logged,"Two-stage instrument-first screening stopped dennyS17 and Braman751 on hard action-set failures without full reconstruction. death_penalty remains source-blocked because no direct final instrument or design repository was recovered and the result-bearing article was not opened. No participant file was opened; one incidental TESS result-summary exposure was logged for the independently ineligible dennyS17 row."
external-batch-20260812-007,21,23,Schnabel903|wallaceS12|gashS5,complete,2026-08-12,sealed,"Two-stage instrument-first screening excluded Schnabel903 on target-attribute and utility grounds, escalated and retained wallaceS12 as a sealed military-context factorial action-subset extension, and left gashS5 source-blocked because no direct final instrument or verified experiment identity was recovered. No participant file or result-bearing text was opened."
external-batch-20260812-008,24,27,McCabeS19|KlarS44|relihan1399,complete,2026-08-12,sealed,"Two-stage screening removed McCabeS19 as an exact SocSci210 3pcdm duplicate, retained KlarS44 as a sealed targeted-engagement utility-sensitivity extension, and excluded relihan1399 because its articles fabricate named elites' positions. Freeze order 26 remains the insufficient-metadata orphan. No participant file or result-bearing text was opened."
external-batch-20260812-009,28,30,Howard823|MunschS68|immigration,complete,2026-08-12,sealed,"Two-stage screening removed Howard823 as an exact SocSci210 ztwqy duplicate, excluded MunschS68 because its cells alter applicant identity and work biography, and left immigration source-blocked because no direct instrument or verified design deposit was recovered. No participant file or result-bearing text was opened."
external-batch-20260812-010,31,31,Enos700,complete,2026-08-12,sealed,"Final clear candidate excluded at Stage 1 because it substitutes the target group in a measurement question without a deployable intervention or stable utility. No participant file or result-bearing text was opened."
external-resolution-20260812-011,11,26,system_threat|willer845,complete,2026-08-12,mixed_sealed_and_exposure_logged,"The duplicate hold was confirmed as SocSci210 345ms and removed; an incidental Crossref abstract exposure was logged and 345ms is conservatively non-test. The metadata orphan was recovered as TESS/OSF d3agv and excluded at Stage 1 because its cells substitute factual world states."
