experiment_id,title,paradigm_group,gold_audit,source_audit_status,phase1_eligible,exclusion_reason,notes
5vm8g,Beliefs about Racial Discrimination,racial_discrimination_beliefs,true,source_verified,true,,"Two-arm participant-randomized factual-information intervention; condition 0 is control and condition 1 is treatment. Primary outcome is source Q2 / SocSci task 2, a five-point perceived-seriousness item scored with lower raw values as better recognition. The released SocSci stimuli omit the treatment message, so prompts must be reconstructed from the hashed final questionnaire."
9263n,"To Do, to Have, or to Share? Valuing Experiences and Material Possessions by Involving Others",experiential_material_consumption,true,source_verified,false,factorial_design,"The source randomizes a 2x2 crossing of experiential versus material purchases with shared versus solitary purchases. SocSci conditions are the four factorial cells, not a single intervention factor."
bsd7j,The Taxpayer Gap,welfare_deservingness,true,source_verified,false,non_text_treatment,"The three randomized arms present condition-specific charts (federal-income-tax rates, total-tax rates, or Internet use). A text paraphrase would not be the fielded intervention, so the study violates the locked text-only Phase 1 gate."
fxcn4,Victim Race Gender and Sexual Harassment Credibility,sexual_misconduct_credibility,true,source_verified,false,factorial_order_and_modality,"The fielded design is a 2x2 crossing claimant race and gender identity, presented as an image; the three focal credibility items are randomized in order. It violates the one-factor, text-only, no-order-complication Phase 1 gate."
j6xgs,Busyness Idleness and Happiness,wellbeing_time_use,true,source_verified,false,action_set_ambiguous,"The randomized autobiographical reflection is a framing or elicitation manipulation rather than a clearly deployable intervention choice; the prespecified hypothesis is moderated by age and future-time perspective."
jf46x,Smallpox Vaccine Recommendations,vaccine_risk_trust,true,source_verified,true,,"Two-arm participant-randomized text-message experiment: condition 0 is shared-values/trust framing and condition 1 is past-performance/confidence framing. Primary outcome is source Q2 / SocSci task 0, binary vaccine intention with Yes as higher utility. The released SocSci stimuli say CDC while the final fielded questionnaire says DHS, so prompts must be reconstructed from the hashed final questionnaire."
ncs7k,Cancel Culture and Ideological Congruence,ideological_congruence_speech,true,source_verified,false,factorial_and_order_complication,"The source crosses group identity (Antifa versus Proud Boys) with cancel-culture framing in a 2x2 design and independently randomizes focal outcome order."
nhgxf,Emotional Reactions to Terrorism and Candidate Evaluations,terrorism_threat_emotion,true,source_verified,false,outcome_order_complication,"The source randomizes anger, fear, or relaxation writing inductions, then randomizes the order of the paired candidate-evaluation outcome block."
nk9jd,Reducing Affective Polarization,partisan_affect_depolarization,true,source_verified,false,incomplete_arm_reconstruction_and_order,"The final questionnaire contains four original arms plus nested assignment in the control arm and randomized party-outcome order, while the SocSci210 reconstruction exposes only two condition labels."
v6nhw,Opioid Treatment Funding,opioid_policy_collective_action,true,source_verified,false,factorial_and_order_complication,"The source has P_BASED for Q1 and P_DISTANCE for Q2 in a 2x2 factorial assignment plus independently randomized Q1/Q2 order. SocSci condition_num represents the four factorial cells and cannot be treated as four competing interventions."
vemrp,Accidental Environmentalists,environmental_status_inference,true,source_verified,false,factorial_and_order_complication,"The fielded design crosses income (high versus low) with environmental behavior (green versus not green) in a 2x2 and randomizes the two focal outcome items."
vz5r4,Partisan Stereotypes and Polarization,partisan_affect_depolarization,true,source_verified,false,complex_multistage_and_order,"Four conditions use distinct multi-question recall and selection tasks; party display and focal outcome order are also randomized."
xc4yq,Terrorist Threat Reactions,terrorism_threat_emotion,true,source_verified,true,,"Three participant-randomized text messages: condition 0 plain low-fear, condition 1 high-fear, condition 2 low-fear positive-protection framing. Primary outcome is the first clean protective action after excluding overreaction and ambiguous surveillance items: source behavior item 3 / SocSci task 7, home emergency-kit readiness on 1-8 with higher as better. SocSci treatment strings are truncated and must be reconstructed from the hashed final questionnaire."
xfmrn,Affective Polarization and Social Pressure,partisan_affect_depolarization,true,source_verified,false,outcome_order_complication,"Four text arms manipulate publication/privacy/social observability, but both party-rating and party-trust outcomes have independently randomized party order."
xy8jw,Emotional Substrates of Authoritarian Populism,candidate_emotion_authoritarianism,true,source_verified,false,non_text_treatment_and_order,"Anger and fear inductions require condition-specific face photographs and candidate-evaluation items are randomized in order."
y9nb7,Exposure to Women Candidates,women_representation_political_attitudes,true,source_verified,false,non_text_treatment_and_order,"Three treatment arms show condition-specific candidate photographs and biographical text; the focal candidate-evaluation grid is randomized."
yg958,They Them Pronoun Messages,gender_identity_language,true,source_verified,false,factorial_and_interactive_treatment,"The four arms implement descriptive information and an injunctive norm in a 2x2-like design, with personal-pronoun selection bundled only into arms containing descriptive information. It is not a clean one-factor text-only task."
