freeze_order,osf_node_id,study_title,audit_status,decisive_gate,fielding_cluster_id,outcome_access,result_text_exposed,source_files,notes
1,x9q2d,Effects of Outgroup Friendship Salience on Outgroup Attitudes and Moderating Conditions,ineligible,participant_specific_target_and_unresolved_personalized_reconstruction,TESS19_Aron_2006,sealed,false,"aron287.zip=913b9edd3613ca4fdb53b12c1b2586b23a7a0c3825907136a63f5cbe37ad5bb8|Tess 19 - Aron_final quex & completion report.doc=5c5cfda6d8cfc513a728eaab1d7743ca59cb24ea1a9e0b275182f089911570a0",No participant file or result source opened.
2,ndjc8,Racial Appeals and Political Campaigns in a Diversifying Society,conditional,three_arm_subset_mapping_assets_and_sequence_adapter,TESS2_015_Masuoka755_W1_W2,sealed,false,"Masuoka755.zip=514b43a77477b675d4e42f2f772ac73183dc561fcc217da51ded45fdd465cdee|Wave1_final_instrument=dde6c40a6d31315a946aad4446185de80a6c41b1effb57bb7c293e796b42f2ea|Wave2_final_instrument=23fd8e4c3406b3bb38c8f361b215c6de3bccb1338eb2d688b063c9f50a380e45",Nominal control changes candidate and policy context; conditional historical three-arm subset only.
3,wdmbn,Trust and Risk,prospective_fail,same_experiment_aggregate_embedded_in_final_instrument,Bohnet192_two_cohort,result_text_exposed_ineligible,true,"bohnet192.zip=79a87bdc78a230229c997a82106e4352053749496bb0d506f543563a0611e168|TESS Bohnet v6.doc=3d88336b678a2536fabf4cee316e0f398b9fb4156cd5bdf4ea33597b57ff3478",Embedded aggregate was not recorded or used; automatic prospective exclusion.
4,p4dk9,Reframing the Marriage Debate: Wording Context and Intensity of Support for Marriage and Civil Unions,ineligible,measurement_only_no_common_downstream_utility,p4dk9_kqwrf,sealed,false,"outer_container=9a26e65d4f947f7c82d42a78db7f78be79da9cff2754904c3e73e5dc33d1bf08|final_instrument=5347f655b5229b56f3d529f35e862cfdecc63f4568324856f5ed5a493102c305",Question wording is the treatment and measured response.
5,tfsqn,Crime Reporting and Adjudication in US Rape Culture,ineligible,no_deployable_action_set_or_fixed_world,Baum871,sealed,false,"Baum871.zip=19ecc14b9d3ec431d3a39e308cc63e41664fb110b06cbc5ed9d5975bade53580|final_instrument_pdf=456b56a353798a079dd3f5f3055721282af1eb8cad284d7b9e736290d4eeabe1|final_questionnaire.docx=30d4953289557befdce69a8761def879c26ddd032cb63c654affec23414349a9",Conjoint profile attributes are case facts; reporting and punishment are different estimands.
6,a5v96,What fosters patients’ acceptance of Clinical Decision Support Systems? The influence of knowledge and provider type on popular willingness to use artificial medical intelligence,duplicate,duplicate_of_socsci210_a5v96,a5v96,sealed,false,"participant_mapping.json=b436801983a6c31dd408bab65d5b2b79fb5515db129df2ff07acb781549ecbee|condition_mapping.json=ea0a2b7ffdac8cb128e7d3dc599148e711ebb72a0297f40473925ddf6870347d",Stopped before external source retrieval.
7,rg7sn,The Candidate Evaluation Experiment: Testing Proximity and Directional Predictions on Policy Issues and Ideology,ineligible,personalized_candidate_position_attributes_no_coherent_action_or_utility,claassen502,sealed,false,"claassen502.zip=5964d6cbe766f4b4e445db6914bc24b0eb223fb90bbfa51c24b33239437b55ac|final_questionnaire=3960b3b4c39a064a3ef1d02f829d342f176125bf6207ba8bb5765738212da657",Candidate positions are respondent-relative target attributes rather than deployable actions.
8,6zx9c,The Effects of Targeting Gender by Political Campaigns,prospective_fail,apparent_instrument_was_result_bearing_manuscript,Schneider377,result_text_exposed_ineligible,true,"Schneider377.pdf=9c67a609770369b23c8eed64904e4bbb86dda7a71198cc54f577c1122d520d7b|source_archive=5f50500d5f1722f1f50f2abe7ceed819c195bbe541385e6c8b3a9dbfa444ade7|unopened_final_survey=4aa49207d7c2fcce57c1741d1f0f48bfcfe942f636c6ec507e0b2091beb5bc4e",Inspection stopped immediately; pilot finding not recorded or used.
9,pwre6,Non-Verbal Cues in Politics: Assessing the Interaction between Facial Similarity Gender and Candidate Visibility,ineligible,exact_personalized_stimuli_and_assignment_missing,pwre6,sealed,false,"source_archive=c6266cba0d2608d6b973bff97dbd7cd5aa8ef98b8777c81e1753b6ad6f6a209e|final_instrument=d70db5270812f85fa73a42e22cf328ac3c0caaf3ba7dde884f4bacfcf7b89db4",Participant-specific morphed photographs and assignment crosswalk are absent.
10,yz7wg,The War at Home: Attitudes Toward Veterans Returning from Iraq,ineligible,incompatible_factual_histories_not_deployable_actions,yz7wg,sealed,false,"outer_archive=1630d9db000d1031ea02660596725f13fe54471aca7025bfa9a91b85b019e66b|design_container=f08f58ff8c07779732b101facc3cd9ccc3d52e4ad417861c52740c61e0fe4b54|final_instrument=646f8f44d551d98aa2cb1d9e14111ce0b10c11e910aa7d670790d993de678c5e",Cells alter occupation and service history rather than selectable interventions.
11,h6txz,Bias and Credibility: Explaining Partisan News Choice,conditional,human_mapping_and_historical_truthfulness,Kelly207,sealed,false,"Kelly207.zip=c0514b5b42453330085855d32b0a72defcfe48231c475636c6f427edd5062cb6|final_instrument=93d1ddeaa210eb7d0312dfe176e5d242289960455eebda3585ab6e87ed060b9f",Three compatible editorial information policies; exact stored Q11 mapping remains unresolved.
12,wr7jg,Boosting Voter Turnout by Invoking Identity,conditional,matched_turnout_mapping_and_sequence_adapter,Bryan773,sealed,false,"Bryan773.zip=b654b2943a19cc9445c5e63a4930be3561cdfcb218e959c1a7cf0b7363ce5ccc|final_instrument=957d2044bee7b941a4d8edadc12a2d7e96c98170a47c041f629a67bb2f625aad",Two prompt policies with downstream matched turnout; no untreated arm.
13,s6dxz,Testing Ideological Social Identity’s Effects in Party Primaries Versus General Elections,ineligible,incoherent_election_context_no_stable_utility,s6dxz,sealed,false,"outer_archive=34a9e27bf491e18ef62cc7febb39ef708d3aa0e307c15b76247406f5a941b59b|final_instrument=119fa594a96e1ff976b93dd8d74d6042ac1638f1753893f13e13216cb162bbf0",Election context and candidate identities change across cells.
14,5cpqm,(Ideo)Logical Reasoning: Ideology Impairs Sound Reasoning,ineligible,measurement_item_randomization,5cpqm,sealed,false,"source_archive=dfa600b1a208078b3cb34fcbdfc0705049688c3836f3f740a47d0b9efa76e114|final_instrument=a7e0968d39303b0dc7d1c91582591fb1369ba2529032987dcf1439585a542996",Randomized reasoning items are measurements with no common downstream endpoint.
