archive_study_id,archive_title,socsci210_experiment_id,socsci210_title,match_rule,deduplication_disposition,outcome_access
CalarcoS38,Public Perceptions of Prenatal Alcohol Consumption,dh3nj,Public Perceptions of Prenatal Alcohol Consumption,normalized_exact_title,exclude_from_external_universe,sealed
Campbell1308,The Effects of Exposure to Women Candidates on Political Attitudes,y9nb7,The Effects of Exposure to Women Candidates on Political Attitudes,normalized_exact_title,exclude_from_external_universe,sealed
Cohen1099,"Social Class, College Debt, and the Purpose of College",5b6tf,"Social Class, College Debt, and the Purpose of College",normalized_exact_title,exclude_from_external_universe,sealed
Connors1226,Everyone’s Doing It: Affective Polarization is Inflated by Social Pressure,xfmrn,Everyone’s Doing It: Affective Polarization is Inflated by Social Pressure,normalized_exact_title,exclude_from_external_universe,sealed
CorstangeBRIEF69,American Responses to the Syrian Refugee Crisis,t8xq7,American Responses to the Syrian Refugee Crisis,normalized_exact_title,exclude_from_external_universe,sealed
FaheyS78,"Cancel Culture for Friends, Consequence Culture for Enemies: The Effects of Ideological Congruence on Perceptions of Free Speech",ncs7k,"Cancel Culture for Friends, Consequence Culture for Enemies: The Effects of Ideological Congruence on Perceptions of Free Speech",normalized_exact_title,exclude_from_external_universe,sealed
FarrowS6,Does Misery Love Company?: Exploration of a Strategic Intervention to Improve Well-being,bf8p2,Does Misery Love Company?: Exploration of a Strategic Intervention to Improve Well-being,normalized_exact_title,exclude_from_external_universe,sealed
Haaland874,Beliefs about Racial Discrimination,5vm8g,Beliefs about Racial Discrimination,normalized_exact_title,exclude_from_external_universe,sealed
HamiltonS31,Whom Do You Believe? Assessing Credibility of the Accuser and Accused in Sexual Assault,3muqx,Whom Do You Believe? Assessing Credibility of the Accuser and Accused in Sexual Assault,normalized_exact_title,exclude_from_external_universe,sealed
HankinsonS22,Burden Sharing and Collective Action: A Study of Opinion on Opioid Treatment Funding,v6nhw,Burden Sharing and Collective Action: A Study of Opinion on Opioid Treatment Funding,normalized_exact_title,exclude_from_external_universe,sealed
Howat1039,Not all stereotypes are equal: Consequences of partisan stereotypes on polarization,vz5r4,Not all stereotypes are equal: Consequences of partisan stereotypes on polarization,normalized_exact_title,exclude_from_external_universe,sealed
Kennedy1017,Accidental Environmentalists: Examining the Effect of Income on Positive Social Evaluations of Environmentally-Friendly Lifestyles,vemrp,Accidental Environmentalists: Examining the Effect of Income on Positive Social Evaluations of Environmentally-Friendly Lifestyles,normalized_exact_title,exclude_from_external_universe,sealed
KlarBRIEF70,"Untangling a Dislike for the Opposing Party from a Dislike of Parties, Replication",wn3y9,Untangling a Dislike for the Opposing Party from a Dislike of Parties,replication_suffix_match,exclude_from_external_universe,sealed
KuruB67,Polls that Matter: Dynamics of Horse Race Polling and Public Evaluation of Poll Reports,gdrbk,Polls that Matter: Dynamics of Horse Race Polling and Public Evaluation of Poll Reports,normalized_exact_title,exclude_from_external_universe,sealed
Levendusky741,Can We Reduce Affective Polarization in the Mass Public?,nk9jd,Can We Reduce Affective Polarization in the Mass Public?,normalized_exact_title,exclude_from_external_universe,sealed
McGinty730,Portrayals of Serious Mental Illness: Precursor to Violence or Treatable Health Condition?,zv3wc,Portrayals of Serious Mental Illness: Precursor to Violence or Treatable Health Condition?,normalized_exact_title,exclude_from_external_universe,sealed
Merolla843,Emotional Reactions to Terrorism and Candidate Evaluations,nhgxf,Emotional Reactions to Terrorism and Candidate Evaluations,normalized_exact_title,exclude_from_external_universe,sealed
Mezzapelle1439,Do Victims’ Race and Gender Identity Interact to Predict the Perceived Credibility of Sexual Harassment Claims?,fxcn4,Do Victims’ Race and Gender Identity Interact to Predict the Perceived Credibility of Sexual Harassment Claims?,normalized_exact_title,exclude_from_external_universe,sealed
Rifkin1073,"Introducing a Novel Framework for Understanding The Relationships Between Busyness, Idleness, and Happiness",j6xgs,"Introducing a Novel Framework for Understanding The Relationships Between Busyness, Idleness, and Happiness",normalized_exact_title,exclude_from_external_universe,sealed
RyanS14,Are losers gullible? A new test of ideological asymmetry in conspiracy beliefs,ejms3,Are losers gullible? A new test of ideological asymmetry in conspiracy beliefs,normalized_exact_title,exclude_from_external_universe,sealed
ShannonS28,Does Harsh Language Referring to Immigrants Translate into Harsher Preferences for Immigration Policies – Or Is It All Politics?,xym9d,Does Harsh Language Referring to Immigrants Translate into Harsher Preferences for Immigration Policies – Or Is It All Politics?,normalized_exact_title,exclude_from_external_universe,sealed
