audit_order,archive_study_id,source_id,source_url,source_file_count,source_bundle_sha256,source_files,outcome_access
1,Bougher893,cgbn5,https://osf.io/cgbn5/,2,a1f41916f94248d9c27c9a850177e8be9fb6b29ed8f82e016eb0ff94e7fc5ae2,"Bougher893.pdf=469f74c0ea1acd568a964467b5633d1fe9af63b395ab1950d27dc0895f0a4d15|Bougher893.zip=d7ba7a81cdc31d87805487efb70105c7455d04dbc04394c8b2de23611dd4e8b9",result_text_exposed_ineligible
2,brandtS1,uf5qm,https://osf.io/uf5qm/,4,76acddeae160c7cf12932ad48628cd281f86b39069fa4d895fa689c2163660ba,"Brandt.zip=bfbf4baa99b456b0433b922302ab6d9afdc871b764045a0773ead4390cc99987|Knowledge Networks Methodology.pdf=a34af9649f4ed9eeba67b715fe41a08f8d7aecf90c0ae9ebf46886f11f0be67f|TESS2 003 - Brandt Response Rate Report.doc=2654f2324eb285e05c91124e96b08b91f96c6878a9a956e33e1f290611aa4b17|TESS2_003_Brandt_FINAL.doc=de3e2c9ab2c5f0be1efbcc2f49f559891445777242f67157679a14c123035445",result_text_exposed_ineligible
3,patriot_act,10.1017/S0003055410000493,https://doi.org/10.1017/S0003055410000493,2,1841f2e2d142ba893c523d651b4b63877c17ceaecbadffa8a1b1e844b1bcc5d8,"Chong_Druckman_2010_APSR.pdf=f39a0401b47435e6b59ea558e150f2fa91cb70fdf26373912ce16defd52ce6e2|S0003055410000493sup001.doc=2009b1f6f57af1f87c89ff76a056a4ff892f4aed526eca1acaf588598da1d385",result_text_exposed_ineligible
4,Melin1066,tbrfh,https://osf.io/tbrfh/,4,04069f3c9e27c2608883d00536ff0be86c4b8645b726e7f4b2f121daefc62502,"8041.041 TESS Melin Field Report.pdf=000ee247b3c8df37b6ae3bb1d7bb2dd6eb40b92719380338607d2219a875983b|8041.041_TESS041_Melin_v5clean.docx=95b7c2a0acfc26eb957670172b708dea2f6c348e3557879b8e7102a5f73be230|Melin1066.pdf=18a82c88f7a6a5ecbb9e430bf60311cc656d3c674ea107201dc6caadfdbee28f|s941_TESS041_Melin_Codebook.xlsx=7d488139ce793ea0a0ec43fc01a91e97f764102e43a1e820851a1f214a946d7f",result_text_exposed_ineligible
5,ThorsonS42,xtvu5,https://osf.io/xtvu5/,4,dca81ea276691f270c4380c76d5615c8eebbb666881eed5735c316ce0a113d44,"xtvu5/8041.040_.043_TESS_40_43_Thorson_Klar_v6clean.docx=3c7fafedc8ab15efa1779edf4d60aea8244e4bfc8a3b7b33d439733ae65509df|xtvu5/S42.R1 description.docx=d8c283697ea3d595dc10026b24ad4957e41127436a2969adc1b0088e91f0fe13|xtvu5/ThorsonS42.pdf=282395d5b641dc8303f1be83c662411a2a589ac35725feb7cd9deb6444836b56|xtvu5/ThorsonS42.zip=f1bfc85c07b52e2ea7fe9f42560df87d0e96dd938fd06858a18c06318b57fb62",sealed
6,Harbridge-Yong1032,vzc3g,https://osf.io/vzc3g/,5,9588915cf9b6aa877d3da1a25b7e4dae85801d6fd7af2947660a6445b96dc44c,"8041.027 TESS Harbridge-Yong_Field Report.pdf=d6aa8ad0531faede3cece9f6884b313933aaf9f954e4538fffc25d3de7c48b5a|8041.027_TESS027 Harbridge_v6clean.docx=747fc4aed56c8aea227e39b915717904815cc2719e1ff0ce1400d7c47d9c9381|8041_TESS027 Harbridge_Codebook.xlsx=6d289c29035397b4204f6030299b2b3280d9fedb160871a4b7df608309e03efa|Harbridge-Yong1032.pdf=a54aa0b242c92a57301340cdbf344d0da8d3a4cbfb72bdfc9adcb5ac64f54bbd|TESS027_Treatment Assignment Guide.xlsx=3f258f27063e369e5583ca42a32aa658608299bb9ff41619a1ef5b5cbc19b752",result_text_exposed_non_test
7,converseS16,10.1073/pnas.0908374106,https://doi.org/10.1073/pnas.0908374106,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,result_text_exposed_ineligible
8,Krupnikov719,4fb4p,https://osf.io/4fb4p/,3,2f5dd8221e6ea2c2f0c489ce771c32df18ba533ab8d739d80d8d74b4adb839c4,"GfK Methodology - July 2014.pdf=811fc30f25c60bd06bc168a50895a2ee7eb590450036fda93c3c6396a5a5ce1e|TESS3 201 - Krupnikov Response Rate Report.doc=389db629d57ad49e62d62eed32ee74f5677d4b8c98148e1ac21d30fbbae35995|TESS3_201_FINAL.docx=32d5c39d30ada355574bdcfb92938726a8c2ca358adf592e2d8220df623bd60b",result_text_exposed_ineligible
9,ShannonS2,qdg32,https://osf.io/qdg32/,4,dba46c7131976dafc412305c3cf21c48dc7dda505fb8cbb5b47c6d783d0610fa,"[8041.001_002_005] TESS Combined_v11clean.docx=012fb797696843b6f27f5e85c52891813eb09a1ebae30e3e616c34b74f84c5dd|001 SHANNON_TESS_Field Report_v1.pdf=ce4aa78ae8cdcbd4caa721e60b4da4621ea58ba5a7b295183df5bdb7b0e95bc7|ShannonS2.pdf=5786d8346741c1fbb8f8584fe9a6437972f61f24df55958510bbe3044a76f12f|TESS 001_SHANNON_Codebook_05March17.xlsx=b91c0c33c7e34ce4f5db9459288b041d908af78784a98a94afe98f34af81437a",sealed
10,AnsonBRIEF60,ynf2n,https://osf.io/ynf2n/,3,8817310a3d68bcbdadc4955ccfe7a136c0405330754744e4709f53c885e0bde8,"GfK Methodology - July 2014.pdf=811fc30f25c60bd06bc168a50895a2ee7eb590450036fda93c3c6396a5a5ce1e|TESS3 198 - Anson Response Rate Report.doc=9831606b9e411b24c9a5e6aa5f3f997f76701ed12b84c3e7f0fc58d26b930d12|TESS3_197.198.200_FINAL.docx=77a557b6cdc620b424c2ae8e47805f8cfbff971d2ad362a9867830efe4949eba",result_text_exposed_non_test
11,Craig735,sazxn,https://osf.io/sazxn/,3,34d77d76d8d20cc11cbf569acbc1b1c246684a20d6a10a3ead1d6d24bf9be981,"310.209.01015.1_TESS3_222_Craig_NWU_1.01.docx=0cc6eaaca7c97ee9095776f7507b324d2f34b33d7261c21f65dbf624b7934e55|GfK Methodology - April 2016.pdf=6b73b3010c9f2754b068171cad156f6e1320ae818135492766818f8623a5e827|TESS3 222 - Craig Response Rate Report.doc=af2f49d53908e721b9fc248675897945bc5273daa3b68ab21f04696ae58ed59b",sealed
