audit_order,freeze_order,archive_study_id,paradigm_group,randomization_unit,design_class,arm_structure,action_set_status,modality,primary_track,scientific_status,outcome_mapping_status,exclusion_reason,outcome_access,notes
1,1,Bougher893,affective_polarization_issue_agreement,participant,personalized_3x3_factorial_with_nested_randomization,"Three party-cue configurations crossed with aligned versus cross-pressured issue profiles; candidate column, issue order, and candidate-to-profile assignment are also randomized.",not_a_coherent_deployable_arm_set,text,ineligible,ineligible,not_applicable,target_attributes_and_no_stable_decision_utility,result_text_exposed_ineligible,"The randomized cells jointly change candidate party composition and participant-specific issue agreement rather than alternative interventions available to one decision-maker. Candidate A/B is not a stable beneficiary because profile assignment is randomized, and the source-primary candidate/party affect construct would require a separately justified composite welfare utility. Excluded without using response values or treatment effects. Participant records were never opened, but published aggregate result text was incidentally visible during source retrieval; this exposure is logged and the ineligible study is barred from any untouched evaluation stratum."
2,2,brandtS1,foreclosure_controllability_attribution,participant,between_subject_2x2_vignette,"Onset controllability crossed with offset controllability to create four foreclosure-household scenarios; one vignette is followed by fixed post-treatment measures.",scenario_attributes_not_deployable_actions,text,ineligible,ineligible,not_applicable,scenario_target_attributes_not_deployable_actions,result_text_exposed_ineligible,"Cells change why a household entered and remained in foreclosure, which are attributes of different target situations rather than interventions assignable by one decision-maker to a stable target. A communication-frame reinterpretation would add an unsupported truthfulness constraint and invented operational objective. No participant data were opened; qualitative aggregate-result snippets were incidentally exposed during source discovery and were not used."
3,3,patriot_act,dynamic_framing_and_processing,participant,multiwave_16_arm_sequence_factorial,"Control plus processing-mode by first-wave frame packages and processing-mode by opposing first-to-second-wave frame sequences; support is measured after treatment at both waves roughly ten days apart.",no_coherent_full_action_set,text,ineligible,ineligible,not_applicable,no_coherent_full_action_set_or_defensible_stable_utility,result_text_exposed_ineligible,"The full arm set mixes opposing persuasion goals, artificial processing instructions, and message sequences with intended carryover, so one stable decision-maker and monotone utility cannot be declared across all arms. T1 is post-treatment, T2 attrition needs a separate estimator, and exact stimuli are incomplete. No participant data were opened; aggregate result-bearing snippets were incidentally exposed and not used."
4,4,Melin1066,hybrid_femininity_hiring_evaluation,participant,between_subject_2x3_factorial_vignette,"Applicant occupational history (military or cosmetics) crossed with target job context (automotive, wedding/events, or consulting); presentation order is randomized for several outcome blocks.",factorial_target_attributes_not_deployable_actions,text,ineligible,ineligible,not_applicable,factorial_target_attributes_no_deployable_action_set_or_stable_utility,result_text_exposed_ineligible,"Cells jointly change an applicant's past biography and the target job/market rather than interventions applied to one fixed target. Salary also has opposing applicant and employer utilities, while masculinity lacks a defensible monotone direction. No participant data were opened; aggregate result-bearing snippets were incidentally exposed and not used."
5,5,ThorsonS42,misinformation_question_scope,participant,between_subject_2x2_question_wording_order,"Social-media-specific versus generic misinformation wording is crossed with whether the trust block appears before or after the wording block; additional study-block and item order are randomized.",measurement_only_and_duplicate,text,ineligible,ineligible,not_applicable,duplicate_of_socsci210_xtvu5,sealed,"Exact title and OSF node match the already audited SocSci210 experiment xtvu5, so this row cannot add an independent experiment. Independently, the randomized factors change survey wording and measurement order rather than a deployable substantive intervention, and some nominal cells measure trust before the framing. No participant file or result-bearing text was opened."
6,6,Harbridge-Yong1032,legislative_agenda_and_ignored_alternatives,participant,nested_factorial_with_frozen_action_subset,"Eight nominal cells vary majority party, policy context, ignored-alternative sponsor, and nested alternative content. The frozen primary subset uses cells 1, 2, and 3: a fixed Democratic-majority green-energy context with omission, bipartisan disclosure, or minority-party disclosure.",coherent_for_frozen_cells_1_2_3,text,extension_factorial_action_subset,eligible_extension,source_verified,,result_text_exposed_non_test,"A communicator can choose among three exact disclosure policies while population, context, beneficiary, outcome, and estimand remain fixed. Source Q2 congressional confidence (1–5; higher is better for a declared institutional-communication objective) follows the frozen outcome hierarchy. Maximizing confidence is not claimed as public welfare. Field allocation probabilities and the study-specific weight still require resolution before scoring. A mixed archive was briefly downloaded, participant members were not extracted or opened, and the archive was removed. Prior-pilot result text was incidentally exposed, so the task is development-only."
7,7,converseS16,religious_belief_attribution,unresolved,multiple_studies_under_one_article,"The source article contains seven studies; the archive ID cannot be mapped to one fielded experiment, and the blocked supplement prevents verification of the exact randomized cells, instrument, outcome scale, and action set.",source_identity_and_action_set_unresolved,text,ineligible,ineligible,not_applicable,unresolved_experiment_identity_and_no_verified_action_utility,result_text_exposed_ineligible,"Accessible methods indicate repeated belief-attribution surveys and separate causal experiments, but the archive row cannot be assigned confidently to a specific study. No faithful simulator bundle or DecisionTask can be declared. No participant result file was opened; official metadata unexpectedly exposed aggregate result-bearing abstract text, which was not used."
8,8,Krupnikov719,survey_transparency_disclosure_and_response_quality,participant,between_subject_three_arm_disclosure_with_post_treatment_consent_gate_and_randomized_battery_order,"Generic political-question transition; public-data disclosure with anonymity assurance; or the same disclosure plus an anti-fraud rationale. Continuation is measured immediately after assignment, and substantive batteries follow only for continuers.",coherent_truthful_subset_but_no_admissible_scored_outcome,text,ineligible,ineligible,source_verified_no_defensible_utility,no_source_verified_stable_utility_and_post_treatment_selection,result_text_exposed_ineligible,"The truthful disclosure subset is deployable, but the catalogued abortion, racial-attitude, and income outcomes have no defensible survey-quality orientation. Potentially objective knowledge outcomes are observed only after treatment-affected continuation, so complete-case contrasts condition on post-treatment selection; no source-grounded joint yield/accuracy utility exists. No participant file was extracted or opened. Prior-pilot text and arm-level response-rate process statistics were incidentally exposed and were not used."
9,9,ShannonS2,public_benefit_immigrant_cue_and_savings,participant,between_subject_3x2_factorial_with_repeated_policy_vignettes_and_randomized_order,"Six stable message groups cross beneficiary cue (none, immigrant, or illegal immigrant) with numeric savings information (absent or present). The same assigned policy is used across child-tax-credit, WIC, and in-state-tuition vignettes shown in randomized order.",coherent_six_arm_message_policy_with_repeated_contexts,text,extension_factorial_repeated_message,eligible_extension,source_verified_pending_order_averaging_contract,,sealed,"The source-designated child-tax-credit agreement item provides one primary five-level ordinal utility for a declared outreach-support objective; all six randomized message policies remain admissible. WIC and tuition are repeated outcomes from the same experiment, not additional tasks. Before scoring, freeze an estimator marginal over the independently randomized six-order distribution, verify item mapping and missing codes, and declare weighted versus released-sample estimation. No participant data or result-bearing text was opened."
10,10,AnsonBRIEF60,personalized_economic_news_belief_updating,participant,between_subject_personalized_policy_with_independent_co_module,"After a pre-treatment topic preference, assignment chooses either a positive story matched to that preference or an unrelated Verizon story. An independently randomized colocated module occurs before the post-story outcomes.",coherent_personalized_policy_for_declared_persuasion_objective,text,extension_personalized_policy,eligible_extension,instrument_verified_source_data_mapping_pending,,result_text_exposed_non_test,"A communicator can choose a personalized positive-economic-news policy versus unrelated news while preserving each persona's pre-treatment topic preference across arms. The primary source item is five-level overall-economy positivity for a narrow persuasion objective, not truth or public welfare. Scoring remains blocked on a routing-label discrepancy, response code/missingness/weight mapping, and a frozen co-module marginalization rule. No participant file was extracted or opened; prior-pilot result text was incidentally exposed, so the task is development-only."
11,12,Craig735,demographic_change_status_threat,participant,between_subject_three_arm_demographic_information_frame,"Hispanic population-growth press release; Asian population-growth press release; or unrelated Census geographic-mobility control. Policy and attitude item blocks are partly randomized after assignment.",deployable_messages_but_no_stable_decision_utility,text,ineligible,ineligible,not_applicable,ideologically_contested_policy_outcomes_no_defensible_stable_utility,sealed,"This is a distinct 2016 fielding from system_threat/SocSci210 345ms but belongs in the same paradigm group for splitting. The exact messages are deployable, yet immigration, defense, interrogation, threat, and ideology outcomes lack a source-declared beneficiary or defensible monotone utility. No participant data or result-bearing text was opened."
12,13,Iles1294,conflicting_health_information_and_science_communication,participant,between_subject_2x4_factual_evidence_and_conflict_factorial,"Recommendation direction (limit or do not limit red meat) is crossed with conflict in evidence, conflict between sources, within-source reversal, or no-conflict consensus, producing eight text cells.",factual_evidence_state_not_fixed_no_deployable_action_set,text,ineligible,ineligible,source_verified,message_cells_change_factual_evidence_state_not_deployable_actions,sealed,"Confusion has a clean lower-is-better source utility, but the cells alter the actual evidence and expert positions rather than truthful communication actions under one fixed world. No outcome-blind subset preserves the evidence state while varying only a deployable message. Participant data and results remained sealed."
13,14,Blair1131,crisis_response_strategy_and_public_approval,participant,between_subject_2x2x2x3_factorial_with_frozen_action_subset,"Twenty-four cells cross foreign-leader gender, U.S.-president party, U.S.-president gender, and three crisis actions. The deterministic subset rule freezes source cells 1–3: one male foreign leader and one Republican male president context with stay out, threaten then back down, or threaten then engage.",coherent_for_frozen_cells_1_2_3,text,extension_factorial_action_subset,eligible_extension,source_verified_scoring_contract_complete,,sealed,"A presidential political adviser can choose among three complete crisis-response strategies in one fixed context; source Q3 provides a 1–7 public-approval utility for the narrow incumbent-reputation objective. Approval is not national-security, humanitarian, or public-welfare utility. Cells 4–24 remain alternative contexts and cannot create additional tasks. Outcome-blind schema inspection froze BLAIR, Q3, WEIGHT, RND_02, PARTYID7, missing codes 77/98/99, equal name marginalization, weighted Hajek estimation, and design support of 104/88/99 rows. No Q3 value, outcome summary, effect, or winner was opened. This remains an extension and fails the stricter Phase 1 100-row support floor in two arms."
14,15,KrupnikovS34,political_identity_question_wording,participant,between_subject_2x2_measurement_wording_with_randomized_module_order,"Partisan self-identification think-versus-feel wording is crossed with identity-importance think-versus-feel wording. The module is embedded among independently randomized experiments and block order is randomized.",measurement_wording_only_no_decision_utility,text,ineligible,ineligible,not_applicable,measurement_wording_treatment_no_post_intervention_outcome_or_stable_utility,sealed,"The randomized packages alter survey measurement wording itself, and the catalogued partisanship response is the treatment question rather than a downstream decision outcome. Partisan placement and identity importance have no source-grounded monotone utility or stable beneficiary. No participant data or result-bearing text was opened."
15,16,turagaS11,environmental_risk_information_and_personal_responsibility,participant,between_subject_three_arm_information_emphasis,"All arms share a mercury-risk passage. The communicator adds no statistic, a community contamination/severity statistic, or a household-responsibility statistic before identical willingness questions.",coherent_three_arm_information_policy,text,core_simple,eligible_extension,source_verified_scoring_contract_complete,,sealed,"The three truthful message-emphasis policies are deployable in one fixed factual context. The frozen questionnaire-order primary is Q6a willingness to write in support of stronger mercury-control policies, ordinal 1–5 with higher better for a declared environmental-health communication objective. Outcome-blind schema inspection froze XTESS030, routed Q6COa/Q6STa/Q6ARa outcome fields, source weight, missing code -1, weighted Hajek estimation, and design support of 247/258/269 rows. No Q6 value, outcome summary, effect, or winner was opened; historical truth-context limitations remain explicit."
16,17,SchaadS62,transgender_identity_narrative_and_legitimacy,participant,nested_eight_cell_target_identity_vignette,"Eight feasible cells vary assigned sex, current binary or non-binary gender identity, and a conforming or nonconforming childhood narrative; randomized module order may place other experiments first.",target_identity_and_biographical_attributes_not_deployable_actions,text,ineligible,ineligible,not_applicable,duplicate_of_socsci210_9nphm,sealed,"The official OSF node is exactly SocSci210 study 9nphm, so the row cannot add an independent experiment. Independently, cells change the target's identity and biography rather than actions available to one decision-maker; conformity-pair subsets would require altering biographical facts. No participant data or result-bearing text was opened."
17,18,dennyS17,workplace_evaluation_parenthood_race,participant,between_subject_4x3_applicant_attribute_factorial,"Twelve cells cross four race-cued applicant names with no children, two children with low involvement, or two children with high involvement before common workplace evaluations.",target_attributes_not_deployable,text,ineligible,ineligible,not_applicable,factorial_applicant_race_and_fatherhood_attributes_not_deployable_actions,result_text_exposed_ineligible,"The instrument proves that race cues, fatherhood status, and parental-involvement biography are attributes of a fictional applicant rather than interventions one decision-maker can assign to a stable target. Holding race fixed does not make child status or biography deployable. The staged audit stopped after the final instrument. No participant file was extracted or opened; the official TESS page unexpectedly exposed result-bearing summary text, which was not used and bars the row from untouched evaluation."
