audit_order,experiment_id,selection_hash,osf_title,osf_url,released_condition_count,min_participants_per_condition,stable_common_task_ids,source_metadata_status,source_audit_status,outcome_access
1,c956y,029868c9e65043bbf3d89df5889bfd45fbd6e785176b417a7f00de1f74e2ef26,"Gasoline Prices, Inattentive Consumers, and the Energy Paradox",https://osf.io/c956y/,2,419,0|4,pinned,source_screened_ineligible,sealed
2,mzm26,0a392f858d4dcfc04b514c8a902fb54b4915795c619b70b68c6a13f33bc6fc55,"Helping the Homeless: Empathy, Race, and Perceptions of Homelessness in America",https://osf.io/mzm26/,4,182,0|1|2|3,pinned,source_screened_extension,sealed
3,d3agv,0b784dce32829e1096cacbc6256476c504b8931c4915b94b6036a674e4766afd,The Effects of Racial and Economic Threat on Support for the 2016 Presidential Candidates,https://osf.io/d3agv/,3,668,0|1|2|3|4|5|6|9,pinned,source_screened_extension,sealed
4,tcg8p,1010a43686dbb009f382476530a5a1b64773b9add6e2d984019a863f21948ba4,Do notifications affect consumers willingness to incur power outages? Evidence from Public Safety Power Shutoffs in California,https://osf.io/tcg8p/,3,669,0,pinned,source_verified_extension_continuous,sealed
5,4w9pz,130734ac97c576134a223ef163e2ad49426d715fe717d3d3f5b7a9156de3d8ea,When and How Teachers Communicate Growth Mindset Affordances to Adolescents,https://osf.io/4w9pz/,2,390,0|1|3|4,pinned,source_screened_core,sealed
6,yuazs,15a46a7e3c9fd5cf60779a29d5d5734b617f8ca7e2b9c983293ca64b1212aceb,"Priming, Projection, or Both? Reevaluating the Classic Priming Hypothesis",https://osf.io/yuazs/,3,686,0|1|5,pinned,source_screened_ineligible,sealed
7,4zscf,15de0a174cd2d0dbe5bf2996b25d4d1aa55ccfa65ecdc3d02feb5ab6ec90577c,Precarious Sexuality and Categorization of Sexual Orientation,https://osf.io/4zscf/,4,472,0|1|2,pinned,source_screened_ineligible,sealed
8,pb2rr,1734321eb712068abfc3613378e39007d930abd1e567a9071e4c49b3062154c5,Black–White Relations in the Wake of Hispanic Growth: Generosity and Identification,https://osf.io/pb2rr/,2,385,1|3,pinned,source_screened_extension,sealed
9,a42yg,18d9688eede40c5608b1c2f95237bd24015cc1b240aad66f26e803ebe8a64613,Conflict between curative and palliative goals among health care personnel: Elucidating psychological processes and resolving conflict through self-affirmation,https://osf.io/a42yg/,4,115,3,pinned,source_screened_extension,sealed
10,zx5b8,237b1d117df789ce2bf1f283d439413ff5215c45026cf81171c5e29111465925,Do the benefits of receiving affectionate touch generalize beyond satisfied couples?,https://osf.io/zx5b8/,4,277,0,pinned,source_screened_extension,sealed
11,nj5dx,2480f293122429ba5008b35d306e17fe5f59b2c8ab570ade872efe1cbb923600,How Social Class and the Framing of Income Inequality Affect Solidarity Within & Across Groups,https://osf.io/nj5dx/,2,904,0|7|8|9|10,pinned,source_screened_extension,sealed
12,sffyb,3968069ab9806c9c7d0187b49f0ac48cc2330311e656ea874ac3a1881334314e,Saving for retirement vs. Saving for a retirement with others: Motivating saving by framing retirement as a social experience,https://osf.io/sffyb/,2,636,0|1|2|3|4|5|6|7|8|9|10|11|12,pinned,source_screened_extension,sealed
13,a2nbf,3c36312656087741d57f92d7e197477a8b7c461347a56ae96691c4e3d449bc11,An Experiment Testing Possible Question-Wording Effects on Key General Social Survey Indicators of Attitudes toward Genetic Testing,https://osf.io/a2nbf/,2,773,0|1|2|3,pinned,source_screened_ineligible,sealed
14,egmxd,41c8d480e739d41f5de3a2cd6fcdd55c617a820a95d3d8e84b0e655c7c1ad6d9,Do Sustainability Labels Lead to More Sustainable and Healthier Food Choices?,https://osf.io/egmxd/,3,1667,1|2|3|4,pinned,source_screened_extension,sealed
15,ervm8,4272135b419e3690675a70488d0c7be5fb0f3a439e0a3017b08378b533b358d3,Experiments to Reduce the Overreporting of Voting: A Pipeline to the Truth,https://osf.io/ervm8/,3,830,0,pinned,source_screened_ineligible,sealed
16,de5hx,452b6226869696b4028447ea958b709bd53b02da6b77bb7244a8f0c73b7cde1e,"Risk Orientations, Status Quo Frames, and Electoral Choice",https://osf.io/de5hx/,3,324,0|1,pinned,source_screened_core,sealed
17,345ms,458d541299303781daa613a2dfc220fbbb964aa3618204625a0bc14a4e5a036a,Is the Impending Majority-Minority United States Seen as a System Threat to White Americans?,https://osf.io/345ms/,2,301,0|1|3|4|6|7|9|11|14|16|17|18|19,pinned,source_screened_core,sealed
18,kryns,45bca04bc74c51ae46468343d86a77d4e060294b5ae74ca4967ab61db6f4b452,The Future of Latinos’ Policy Attitudes Amid the Rising Diversity in the United States,https://osf.io/kryns/,3,260,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22,pinned,source_screened_extension,sealed
19,9n7hj,4cf4fe851c7eaad15b1e28d9e1aee3781c1c1e8097e3ccb2922fa439d47c76fc,Anger: Racial Resentment Drives Opposition to Health Care Reform,https://osf.io/9n7hj/,4,212,0,pinned,source_screened_extension,sealed
20,5mt6r,4fd9f2564c76ab6881b5603729d18f383b1a2fb433b808fe6f81da4a35774f22,Improving Measurement of Self-Reported Health: Effects of Question Context and Response Order,https://osf.io/5mt6r/,4,665,0|1|2|3|4|5|6|7,pinned,source_screened_ineligible,sealed
21,6wbd7,5743f81f88d44b2b54dc92b4067cc34a5058654d9999a4f82530162691c847bd,Does Elite Philanthropy Increase Support for Plutocracy?,https://osf.io/6wbd7/,3,745,4|5|6|7|8|9,pinned,source_screened_extension,sealed
