audit_order,experiment_id,paradigm_group,randomization_unit,design_class,action_set_status,modality,primary_track,extension_flags,scientific_status,outcome_mapping_status,exclusion_reason,outcome_access,notes
1,c956y,energy_information_and_purchasing,participant,complex_factorial_multistage,not_recoverable_from_released_arms,mixed,ineligible,multimodal|interactive|incomplete_reconstruction,ineligible,not_applicable,incomplete_arm_reconstruction,sealed,"The fielded source has 16 assignments plus ordered incentivized decisions, audio, and images; SocSci exposes two condition labels, so a faithful decision contrast cannot be recovered from the flattened arms."
2,mzm26,homelessness_empathy_and_donation,participant,2x2_factorial,coherent_only_for_empathy_contrast,mixed,extension_factorial,factorial|multimodal,eligible_extension,source_verified_primary_outcome_video_assets_missing,,result_text_exposed_non_test,"Source Q12 is the primary incentivized $0-$10 Miriam's Kitchen donation. The deployable empathy contrast must be standardized equally within target race, but the four exact fielded MOV files are absent from the official deposit and SocSci210 preserves only text descriptions. A proposal paragraph exposed prior-pilot result text; no target TESS outcome was opened or used, but the study is conservatively development-only."
3,d3agv,candidate_threat_messaging,participant,one_factor_three_arm,coherent,text_and_chart,extension_multimodal,multimodal|outcome_order,eligible_extension,pending_primary_outcome_mapping,,sealed,"Three threat/control articles form a messaging set, but one article includes a graph and focal items and candidate rows are randomized."
4,tcg8p,power_outage_notice_policy,participant,one_factor_three_arm,coherent,text,extension_continuous,continuous,eligible_extension,source_verified_continuous_contract,,sealed,"Advance-notice policies are faithfully represented. The source-aligned primary estimator is mean monthly WTP in raw dollars with mandatory median robustness; pooled normalized regret remains blocked until a development-only scale is frozen."
5,4w9pz,teacher_growth_mindset_communication,participant,one_factor_two_arm_with_randomized_prior_comodule_order,coherent_focal_action_set_but_sequence_assets_pending,mixed,extension_source_data,source_data|sequence|multimodal,eligible_extension,source_verified_primary_outcome_action_subset_sequence_assets_pending,,sealed,"The frozen behavioral primary is source T70_14 (hard versus easy extra-credit choice), which SocSci210 omits. Outcome-blind source mapping verifies P_COND70, WEIGHT, T70_14 coding, and 392/411 design support. The final questionnaire randomizes Campbell and Hecht block order, but the exact co-fielded Campbell teen module and photographs are absent; the adult Campbell deposit may not be substituted. Keep simulator readiness blocked until exact sequence assets and order metadata are recovered."
6,yuazs,topic_priming_and_projection,participant,topic_by_order_design,incoherent_cross_topic_actions,text,ineligible,outcome_order,ineligible,not_applicable,incoherent_action_set,sealed,"Participants receive different topical articles and module-order assignments; topic-specific primes are not competing actions for one target population and objective."
7,4zscf,sexual_orientation_categorization,participant,2x2_vignette_factorial,incoherent_target_attributes,text,ineligible,factorial|continuous,ineligible,not_applicable,target_attributes_not_interventions,sealed,"Character gender and prior partner gender define social-category vignettes; these are states of the target, not interventions a decision-maker can choose."
8,pb2rr,demographic_threat_and_generosity,participant,2x2_factorial,coherent_only_for_prime_contrast,image,extension_factorial,factorial|multimodal|source_data,eligible_extension,source_verified_primary_outcome_source_data_multimodal_contract_complete,,sealed,"The frozen action set is the Hispanic-population-growth versus iPhone-growth article contrast. Source Q4 is an incentivized $0-$10 donation omitted from SocSci210; the complete contract scores governed source data after freeze, standardizes equally over all 16 randomized recipient names, and hash-pins both fielded PDFs."
9,a42yg,clinical_goal_conflict_framing,participant,2x2_factorial,coherent,mixed,extension_factorial,factorial|multimodal|outcome_order,eligible_extension,pending_primary_outcome_mapping,,sealed,"The health-care design crosses affirmation and goal framing, includes visual material, and randomizes a focal item block."
10,zx5b8,affectionate_touch_and_conflict,participant,2x2_factorial,coherent,interactive_text,extension_interactive,factorial|interactive,eligible_extension,pending_primary_outcome_mapping,,sealed,"Touch is crossed with conflict versus neutral recall and depends on participant-supplied relationship content."
11,nj5dx,inequality_framing_and_solidarity,participant,one_factor_two_arm,coherent,infographic,extension_multimodal,multimodal|outcome_order,eligible_extension,pending_primary_outcome_mapping,,sealed,"The lower-class-disadvantage and upper-class-privilege frames are shown as infographics and several focal blocks are randomized."
12,sffyb,retirement_saving_social_frame,participant,one_factor_two_arm_longitudinal,coherent,interactive_text,extension_interactive,interactive|longitudinal,eligible_extension,pending_primary_outcome_mapping,,sealed,"The social retirement frame uses participant-generated reflection and two follow-up waves, so it needs a sequential simulator and longitudinal estimand."
13,a2nbf,genetic_testing_question_wording,participant,one_factor_two_arm,measurement_only,text,ineligible,,ineligible,not_applicable,question_wording_measurement,sealed,"The randomized factor changes survey wording for GSS indicators rather than a real intervention delivered to improve a common outcome."
14,egmxd,sustainable_food_labels,participant,one_factor_three_arm,coherent,menu_images,extension_multimodal,multimodal,eligible_extension,source_verified_primary_categorical_choice_multimodal_contract_complete,,result_text_exposed_non_test,"All three exact menu images are hash-pinned. Source Q1 is a forced single choice among 14 items; utility is 1 for the nine source-defined lower-climate-impact items and 0 otherwise. SocSci task 0 must be collapsed from 14 option rows to one participant choice. A mislabeled codebook workbook exposed aggregate target frequencies, so this complete contract is development-only and the frequencies are forbidden from all benchmark inputs and choices."
15,ervm8,voting_overreport_measurement,participant,one_factor_three_arm,measurement_only,text,ineligible,,ineligible,not_applicable,response_measurement_design,sealed,"The arms change response elicitation to reduce voting overreport, so they do not provide a behavioral intervention decision for the benchmark estimand."
16,de5hx,electoral_risk_framing,participant,one_factor_three_arm,coherent,text,extension_utility_sensitivity,utility_sensitivity,eligible_extension,source_verified_primary_outcome_utility_ambiguous,,sealed,"Source Q8 / SocSci task 0 is candidate choice. The arms are coherent messages, but utility reverses with the beneficiary (Jack versus Gary); freeze the decision-maker and report the prespecified sensitivity before scoring."
17,345ms,demographic_change_threat,participant,one_factor_two_arm,coherent,text,extension_composite,composite|heterogeneous_scale,eligible_extension,source_verified_primary_composite,,result_text_exposed_non_test,"The source design names a three-item system-threat construct. SocSci task 2 bundles all three items with two scale ranges, so it requires an item-explicit composite estimator and may not be replaced by one convenient item. A qualitative abstract exposure occurred during external duplicate adjudication; no participant values or arm statistics were opened, but the study is conservatively development-only and barred from canonical test evaluation."
18,kryns,demographic_future_policy_attitudes,participant,one_factor_three_arm,coherent,mixed,extension_multimodal,multimodal|outcome_order,eligible_extension,pending_primary_outcome_mapping,,sealed,"White-future, non-White-future, and control messages use fielded visual content and randomized outcome grids."
19,9n7hj,emotion_induction_and_health_policy,participant,one_factor_four_arm,coherent,interactive_text,extension_interactive,interactive,eligible_extension,pending_primary_outcome_mapping,,sealed,"Anger, fear, enthusiasm, and relaxation writing inductions require participant-generated text and a multi-wave source trace."
20,5mt6r,self_reported_health_measurement,participant,2x2_order_design,measurement_only,text,ineligible,factorial|outcome_order,ineligible,not_applicable,question_and_response_order_measurement,sealed,"The four cells manipulate question context and answer order to study measurement, not an intervention choice on a common substantive outcome."
21,6wbd7,elite_philanthropy_and_plutocracy,participant,one_factor_three_arm,coherent,charts,extension_multimodal,multimodal,eligible_extension,pending_primary_outcome_mapping,,sealed,"Two chart treatments and a neutral history control require the original visual stimuli."
22,gx6hp,violent_political_rhetoric,participant,one_factor_two_arm,coherent,text,core_simple,,eligible_core,source_verified_pending_recode_provenance,,sealed,"Source Q6 / SocSci task 0 is candidate favorability. The released prompt reverses the questionnaire labels; retain as core-simple but do not score until the canonical response recode is proven from construction code or an independent metadata trace."
23,ftwqy,gender_representation_and_labor_valuation,participant,one_factor_two_arm,coherent,text,extension_continuous,continuous,eligible_extension,pending_primary_outcome_mapping,,sealed,"The passage varies women's representation in consulting; the earliest valuation outcomes are numeric and require a continuous-outcome task specification."
24,jtgyq,race_explanation_and_policy_support,participant,one_factor_three_arm_source_two_released,coherent_for_two_messages,mixed,extension_multimodal,multimodal|missing_control,eligible_extension,pending_primary_outcome_mapping,,sealed,"SocSci retains the genetics and social-construction messages but omits the source control; the earliest focal measure uses a visual slider and the action set must explicitly exclude the missing control."
25,84vy3,political_media_source_credibility,participant,one_factor_two_arm,coherent,video,extension_multimodal,multimodal,eligible_extension,pending_primary_outcome_mapping,,sealed,"Professional-journalist versus user-generated attribution accompanies a fielded political video, so text attribution alone is not source faithful."
26,9fehm,cognitive_style_and_ideology,participant,one_factor_three_arm,coherent,interactive_text,extension_interactive,interactive|outcome_order,eligible_extension,pending_primary_outcome_mapping,,sealed,"Intuitive, analytic, and control primes use randomized scrambled-sentence entries before downstream outcomes."
27,es4xw,workplace_diversity_composition,participant,one_factor_four_arm,coherent,images,extension_multimodal,multimodal,eligible_extension,pending_primary_outcome_mapping,,sealed,"Management-team composition is conveyed through condition-specific photographs."
28,w72cz,video_privacy_masking,participant,one_factor_four_arm,coherent,video,extension_multimodal,multimodal,eligible_extension,pending_primary_outcome_mapping,,sealed,"Original, blacked-out, blurred, and stick-figure video policies form a coherent privacy action set but require video-capable simulation."
29,z358z,research_consent_policy,participant,2x2_factorial,coherent_for_fixed_scenario_action_subset,text,extension_factorial,factorial|module_order,eligible_extension,source_verified_primary_outcome_action_subset_sequence_complete,,sealed,"The frozen task retains source cells 0 and 1: general notification versus verbal consent within the fixed CTD-versus-TRT scenario. Source Q3a / SocSci task 2 is the first supported common downstream outcome and measures perceived study value. The task is a narrow public-legitimacy extension, not evidence of clinical or ethical superiority. The sealed simulator marginalizes over all four programmed Kalla/Nayak/Saperstein orders with deterministic nuisance paths paired across arms."
30,e2pyb,racial_health_inequality_messaging,participant,one_factor_three_arm,coherent,infographic,extension_multimodal,multimodal,eligible_extension,pending_primary_outcome_mapping,,sealed,"Racial-disparity message variants are delivered as infographics."
31,52ymc,racial_inequality_target_wording,participant,one_factor_three_arm,target_and_measure_co_vary,text,ineligible,,ineligible,not_applicable,target_specific_measurement,sealed,"Black people, Black men, and Black women are different targets and the outcome wording changes with the target, so cells do not share one utility function."
32,hgmu6,covid_racial_disparity_messaging,participant,one_factor_two_arm,coherent,text,core_simple,,eligible_core,source_verified_pending_recode_provenance,,sealed,"The frozen fallback rule selects final-fielded Q14 / SocSci task 0. The released prompt reverses the questionnaire labels; do not score until the canonical response recode is proven."
33,yp736,partisan_cues_and_pathogen_risk,participant,one_factor_three_arm,coherent,mixed,extension_multimodal,multimodal|outcome_order,eligible_extension,pending_primary_outcome_mapping,,sealed,"Democratic and Republican elite cues are added to a common pathogen article; the fielded presentation includes an image and randomized focal grids."
34,fct42,racism_concept_wording,participant,one_factor_two_arm,measurement_only,text,ineligible,outcome_order,ineligible,not_applicable,question_wording_measurement,sealed,"Racism versus racial-insensitivity wording changes the classification question itself and the eight situations are randomized."
35,xtvu5,misinformation_question_scope,participant,one_factor_two_arm,measurement_only,text,ineligible,outcome_order,ineligible,not_applicable,question_wording_measurement,sealed,"The randomized factor changes whether survey questions mention social media; focal block and list order are also randomized."
36,3rvgz,organizational_racial_labeling,participant,one_factor_two_arm,target_identity_co_varies,text,ineligible,,ineligible,not_applicable,target_organization_not_action,sealed,"Historically Black College versus college changes the identity of the organization being judged rather than an intervention applied to one target."
37,ztwqy,expense_forecasting_debiasing,participant,one_factor_three_arm,coherent,interactive_text,extension_interactive,interactive,eligible_extension,pending_primary_outcome_mapping,,sealed,"Control and two reason-listing prompts precede forecasting; the treatment depends on participant-generated reasons."
38,5hqan,sex_gender_question_order,participant,one_factor_two_arm,measurement_only,text,ineligible,outcome_order,ineligible,not_applicable,question_order_measurement,sealed,"The randomized condition is the order of sex and gender-identity measures, not a substantive intervention."
39,yn7mx,gendered_surgeon_riddle,participant,one_factor_three_arm,target_identity_co_varies,interactive_text,ineligible,interactive|outcome_order,ineligible,not_applicable,target_wording_not_common_action,sealed,"Son, daughter, and child versions change the riddle target and elicit open text; they do not define competing actions with a shared utility."
40,s43kb,incivility_and_conflict_orientation,participant,2x2_factorial,coherent,video_and_interactive,extension_factorial,factorial|multimodal|interactive,eligible_extension,pending_primary_outcome_mapping,,sealed,"Civil versus uncivil communication is crossed with political versus nonpolitical content, uses video, and elicits a free response."
